Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.43,941.5,3.1,67.5,47,19.5,11.8,0,2205,10
1982,15.84,1518.5,3.0,68.6,29,19.9,12.3,7,2236,5
1983,16.17,1335.0,3.0,66.9,52,20.3,12.5,6,2431,1
1984,15.59,966.5,3.1,65.8,59,19.6,12.1,3,2431,37
1985,16.23,1472.0,3.1,67.5,65,20.3,12.7,5,2304,10
1986,15.75,1122.0,3.2,65.7,53,19.9,12.1,2,2280,14
1987,16.45,1178.0,3.1,67.8,59,20.6,12.7,4,2220,0
1988,15.75,1673.5,3.0,66.2,38,19.7,12.3,8,1973,6
1989,16.55,1652.5,3.1,67.3,49,20.5,13.0,8,2060,0
1990,17.23,1986.5,3.1,67.6,70,21.2,13.7,9,2169,0
1991,16.70,1511.0,3.0,67.7,53,20.5,13.4,4,1799,0
1992,16.48,1569.0,3.0,66.8,47,20.4,13.0,7,1951,0
1993,16.04,1919.5,3.1,67.5,24,20.0,12.6,5,1813,0
1994,17.34,997.0,3.1,64.5,75,21.5,13.6,4,2387,2
1995,16.27,1225.5,3.0,65.2,59,20.3,12.6,9,2112,0
1996,16.14,1011.0,2.9,66.2,51,20.3,12.5,3,2093,5
1997,16.66,1170.0,3.0,67.1,56,20.7,13.0,3,2189,0
1998,17.71,2047.0,2.9,70.3,71,21.5,14.3,10,1935,5
1999,16.97,1479.0,3.1,68.5,59,21.0,13.4,5,2042,2
2000,16.70,1337.0,3.1,67.3,72,20.8,13.1,5,2076,3
2001,16.54,1737.0,3.1,66.1,64,20.7,12.9,8,2173,0
2002,16.84,1170.5,3.3,64.3,66,21.0,13.2,4,2147,0
2003,16.50,2060.0,3.1,67.1,49,20.3,13.1,9,1935,9
2004,17.45,2628.5,3.3,65.0,67,21.6,13.8,15,2271,0
2005,16.67,998.5,3.1,65.0,69,20.7,13.2,2,2221,8
2006,16.68,1495.0,3.0,67.8,49,20.4,13.4,2,1890,3
2007,17.36,860.5,3.1,63.4,68,21.4,13.8,1,2201,0
2008,16.80,1445.5,3.3,65.3,66,20.9,13.3,3,2141,0
2009,16.90,1600.5,3.4,64.7,57,21.0,13.4,4,2063,0
2010,16.99,1506.0,3.5,66.2,72,20.9,13.5,6,2121,1
2011,16.67,2562.5,3.5,66.3,68,20.7,13.2,10,2124,7
2012,16.39,1639.0,3.7,67.9,64,20.4,13.0,7,1996,1
2013,16.80,1949.0,3.2,67.1,69,21.1,13.0,8,2327,0
2014,16.37,2534.0,3.1,68.4,46,20.4,12.8,11,2098,8
2015,16.98,1985.5,3.1,68.6,44,20.9,13.5,10,2065,0
2016,17.55,1715.0,3.1,70.8,67,21.6,14.0,5,2099,3
2017,16.65,1496.0,3.1,68.3,67,20.7,13.1,7,2259,0
2018,17.08,1760.0,3.1,71.1,64,21.2,13.6,9,2290,15
2019,17.40,1543.0,3.0,70.3,57,21.4,13.9,8,2146,0
2020,17.48,1644.0,3.1,69.7,59,21.5,14.0,10,2241,0
