Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,13.68,1141.0,1.7,0.0,41,18.5,9.3,2,2338,0
1982,14.47,1516.0,1.9,0.0,26,19.1,10.3,6,2211,0
1983,14.10,1181.0,1.8,0.0,34,18.9,9.9,5,2261,0
1984,13.41,784.0,1.6,0.0,51,18.2,9.2,0,2322,0
1985,14.33,1470.0,1.5,0.0,58,19.0,10.2,6,2196,0
1986,13.68,1277.0,1.7,0.0,38,18.3,9.6,5,2023,0
1987,14.67,1040.0,1.9,0.0,51,19.5,10.4,2,1747,0
1988,13.76,1270.0,1.9,0.0,25,18.4,9.5,4,1618,0
1989,14.81,1523.0,1.9,0.0,44,19.2,10.8,3,1611,0
1990,15.53,1206.0,1.9,0.0,63,20.1,11.3,4,1727,0
1991,14.98,1910.0,1.9,0.0,40,19.3,11.0,7,1706,0
1992,14.46,1381.0,2.0,0.0,43,19.1,10.2,3,1695,0
1993,14.00,1573.0,2.1,0.0,21,18.4,9.9,7,1659,0
1994,15.45,973.0,1.9,0.0,68,20.2,11.2,1,1918,0
1995,14.75,1254.0,2.0,0.0,49,19.6,10.4,5,1929,0
1996,14.23,1085.0,2.0,0.0,43,19.0,9.8,2,1850,0
1997,15.15,1092.0,1.9,0.0,53,19.9,10.7,4,1972,0
1998,15.29,1815.0,1.8,0.0,48,19.7,11.4,4,1509,0
1999,15.42,1483.0,1.9,0.0,59,20.2,11.1,7,1926,0
2000,15.23,1608.0,2.0,0.0,61,19.9,11.0,3,1873,0
2001,14.75,1164.0,1.9,0.0,47,19.6,10.5,3,1951,0
2002,15.03,1138.0,1.9,0.0,52,19.6,10.8,3,1906,0
2003,14.49,1407.0,1.9,0.0,40,19.0,10.4,6,1662,0
2004,15.75,1479.0,2.0,0.0,66,20.7,11.1,4,2149,0
2005,14.63,1312.0,1.9,0.0,62,19.5,10.1,5,2012,0
2006,14.99,1703.0,1.9,0.0,43,19.4,11.0,5,1653,0
2007,15.35,1227.0,2.0,0.0,54,20.0,11.0,5,2140,0
2008,14.91,1538.0,2.1,0.0,49,19.6,10.8,5,1963,0
2009,15.42,1311.0,2.1,0.0,43,20.1,11.2,5,1865,0
2010,15.79,1336.5,2.2,0.0,82,20.9,11.3,4,2068,0
2011,15.32,1381.5,2.3,0.0,69,20.4,10.7,5,2148,0
2012,15.07,1175.0,2.4,0.0,70,19.9,10.7,3,2142,0
2013,15.62,1287.5,2.5,0.0,65,20.9,10.9,6,2243,0
2014,15.22,1444.5,2.4,0.0,52,20.3,10.6,7,2221,0
2015,15.89,1297.0,2.3,0.0,50,20.6,11.5,6,2026,0
2016,15.86,1305.5,2.3,0.0,60,20.7,11.5,5,1916,0
2017,15.27,1295.5,2.4,0.0,58,20.2,10.7,6,2162,0
2018,16.34,1108.5,2.3,0.0,70,21.3,11.7,3,2185,0
2019,16.03,1573.5,2.4,0.0,64,20.8,11.6,5,1996,0
2020,16.14,1274.0,2.3,0.0,56,20.9,11.7,4,2024,0
