Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,22.24,1524.0,4.7,75.4,80,25.0,19.9,7,2241,0
1982,22.57,1976.5,4.7,76.1,65,25.2,20.3,7,2196,0
1983,22.89,2294.0,4.6,76.5,100,25.5,20.7,9,2133,0
1984,22.34,1688.0,4.7,77.8,97,24.9,20.2,4,2039,0
1985,22.50,2005.5,4.6,76.9,78,25.1,20.3,8,2071,0
1986,22.16,1579.0,4.5,72.9,90,24.8,19.9,5,1806,0
1987,23.05,2109.0,5.0,75.9,89,25.8,20.8,9,1819,0
1988,22.97,2302.0,5.4,73.8,99,25.6,20.8,10,1689,0
1989,22.73,1685.0,5.1,73.6,93,25.5,20.5,7,1759,0
1990,23.03,2028.5,5.7,74.1,96,25.7,20.9,10,1757,0
1991,23.39,1611.5,5.5,73.8,118,26.1,21.3,5,1884,0
1992,22.88,2402.5,5.2,74.8,79,25.5,20.6,11,1652,0
1993,23.08,1330.5,5.2,73.6,101,25.8,20.9,3,1851,0
1994,23.02,1570.0,5.1,74.3,92,25.7,20.8,5,1822,0
1995,22.63,1763.0,5.1,74.0,96,25.2,20.5,9,1653,0
1996,22.76,1886.5,5.3,73.5,99,25.4,20.5,9,1840,0
1997,22.98,2018.0,5.2,73.0,73,25.6,20.8,11,1875,0
1998,24.36,3322.0,5.0,75.8,117,26.9,22.2,17,1639,0
1999,23.45,2247.5,5.3,73.9,102,26.0,21.3,10,1639,0
2000,22.95,2613.0,5.4,74.7,77,25.6,20.8,14,1615,0
2001,23.40,2644.0,5.2,71.6,102,26.1,21.1,14,1618,0
2002,23.18,2027.0,5.2,70.9,89,25.9,21.0,13,1704,0
2003,23.42,1457.5,5.4,69.2,100,26.2,21.2,7,1852,0
2004,23.36,1926.0,5.4,69.4,102,26.1,21.1,12,1808,0
2005,23.05,1947.5,5.5,70.3,109,25.8,20.8,6,1579,0
2006,23.50,2068.0,5.2,74.8,96,26.2,21.2,8,1621,0
2007,23.51,2816.5,5.4,72.2,110,26.2,21.2,13,1759,0
2008,23.38,1621.0,4.9,70.7,124,26.2,21.1,7,1815,0
2009,23.40,1864.5,5.3,72.2,109,26.3,21.1,10,1877,0
2010,23.13,2895.5,5.3,74.3,97,25.8,20.8,18,1503,0
2011,22.87,2122.0,5.4,75.0,105,25.5,20.7,8,1602,0
2012,23.00,2733.0,5.5,74.4,83,25.6,20.9,13,1539,0
2013,23.28,2071.0,5.3,72.5,119,26.0,21.1,13,1809,0
2014,23.08,2584.5,5.3,73.2,105,25.8,20.9,10,1760,0
2015,23.59,1425.0,5.2,73.0,110,26.2,21.5,6,1814,0
2016,24.10,2368.0,5.1,74.0,137,26.8,21.9,6,1757,0
2017,23.60,1907.0,5.0,71.3,121,26.3,21.5,7,1646,0
2018,23.47,2469.5,5.3,74.3,105,26.2,21.3,14,1877,0
2019,23.85,2637.5,5.2,77.0,89,26.5,21.7,14,1666,0
2020,23.75,2481.0,5.1,76.9,108,26.5,21.6,15,1737,0
